"sku","cost_price","vancouver"
3oovjdrj93,4275,6
365zj72vkn,5804,6
3orym8xx63,3029,9
3aqmmxa68e,6416,4
3jzkzomdxe,10745,1
3694zqbrk3,17829,3
ergrzv9x7n,9518,2
nygx9o5wgn,2035,8
edkm4gzown,20082,1
e2gmda7zk3,3713,1
ek2rlvkmge,6736,5
er7lp8o57n,4574,8
36vrqz7yje,15759,1
ek998pxl2n,8926,14
3xx58k8ql3,7955,17
396vgkobd3,4908,1
nyb9od68z3,13901,1
edz6z8dlzn,13065,3
38v78q6rjn,1634,1
37mplqzmw3,3700,2
3jvorl6963,1719,2
e2glyg98d3,16485,1
e2489lyr63,38412,1
375rwg27je,15090,2
3lx6zlgoy3,16741,2
nq88y46a6n,8481,1
3zdo67874n,8055,2
364abwqzxe,14152,2
ek7bvwzv43,516,7
nm4r2q9xvn,916,1
nykvjgwwg3,6829,1
3okpjokpyn,3777,1
3jvj9boy63,7666,1
375g68l4xe,5176,1
3zwwarzv83,3229,1
e2274qxmae,6708,3
wnmgwjga9n,20895,2
e2dpxy5gj3,9722,2
38mmjbqkjn,1545,1
362zxg9vjn,13175,7
nykwlgqgd3,22654,2
ek7a8mb7g3,8358,3
ek7gdmxw53,5226,3
37xrj8vqxn,5333,1
3lovxv4yo3,5517,1
3wlbddxxqe,2160,7
3j8w6kglpe,934,1
erdxoojkln,13040,1
e5pg5wlvg3,10806,13
3xqrwd274n,2446,2
3ob5omqvkn,8076,1
3ob9bxkd6n,1092,10
3lo6a86ly3,22989,2
3plyl4gwzn,18506,1
36v2l9929e,18024,4
ekzr9ggkge,6815,2
e2bz4lra7e,26664,2
38kjgvbvo3,4678,1
nvpzdz6gpn,11690,3
3jvvx5xdx3,15083,3
3lmql9r8be,1236,5
34qdx8vyke,10713,1
nm9orp68xe,6870,7
3lpj5mxqde,15221,1
nggrrgmbzn,304,2
erbb8zyb73,923,1
34xz9yag4n,32248,3
e52wx9xybe,10940,1
3w7bq2ydxn,2907,6
ekq2z8wpde,1832,3
3l2wyjgzon,14191,3
e25lg59l7e,5281,1
3aq25zqmde,21959,1
l347gpql43,11372,2
36vl2dgyxe,8979,1
3wlabjbgbe,378,2
3lmzaol7ye,3099,1
e5gwarzxr3,996,2
4e52v4wpge,11255,9
ekbz95wz4e,6490,1
e2grw95m73,6967,2
ekz4dlgore,866,7
ekbo8xq5de,2297,1
3zkjo2wg63,8048,2
3646v8ylke,8152,1
38dovzdopn,3092,2
nb6oz58wa3,9133,3
38mbaxbwjn,5503,7
nmkpymv6d3,7789,1
3o8pkp556n,3458,5
366qop7wo3,15825,1
e5zvl5bpoe,387,9
nm97j6v6xe,3343,2
365l94b8on,2007,1
nv4jajv7qn,9752,10
366qv5oj93,10008,8
g38waqgod3,21017,1
nmml8m9xdn,7155,1
3pqzwy9d8e,6294,4
eryazkkkln,25012,10
3pa9xmjq93,1289,5
3jmmmbr6p3,1818,5
2nyprzwgdn,8720,1
3zprm8dl7n,9795,6
erd9jv6m5n,556,10
nmkzwaqpd3,2584,3
3ob272pzkn,11890,2
3o257kx66n,28537,2
qnvmxzkjbn,778,7
382oqx22o3,1973,2
83zvx5994n,60183,2
3jro89wzwn,729,5
nq8x8grpmn,14308,1
nqpld57wze,1964,2
34kzjpbkye,6238,4
e24zyqkbk3,13677,1
nmqprqzqk3,2446,2
nmq25bgmj3,4305,2
3p7l9rky83,8045,2
4ng822mya3,4916,2
e25kxpxk7e,3517,3
3j8apm22we,4223,5
e5vypdwpg3,848,1
e5lvjoz4on,9726,1
3jm94vgyw3,17954,2
3jr76rogon,15952,3
73ojb8za9e,14996,1
3ax648vlvn,12752,4
372qpw6xje,3679,1
3jvv825l93,6623,2
3ww78zdox3,1996,8
ekqmkxlj2e,62717,2
ergdjdx98n,11158,2
nyyowb58zn,14928,1
34pg9ro243,11358,3
38j5bwk74n,10303,1
9eklzprp5n,13207,1
3696oy9k83,13263,1
37b9lpkqwe,1689,9
365ka95w8n,2010,4
3aqkkod5ve,5487,9
38m2jld4jn,3384,12
e2dbbwlod3,6645,2
3xvqk7jdde,7565,2
3w4wwlmmzn,7514,3
e2mjg6pbd3,4097,1
edxwbrvzg3,17392,2
nvzl9o7k23,3049,1
e2mvg5ay63,1001,40
37apxkp4x3,3631,1
37rbd942xn,1175,5
nmmyo9w7dn,2609,3
3pqgwa6kbe,12490,2
nqprpwvl6e,30626,1
ngqrg7qaa3,11022,1
ek87mqmvge,21028,1
3lxqvvro73,13963,1
qe25y56l7e,1753,3
3o4dvrlxke,7108,7
3xv45jy6xe,4292,2
nbo9k5pay3,6065,1
3l86yjdazn,8979,1
ngb9m78va3,624,57
nbar2qvz2e,10713,12
nm9xgmloke,7411,1
3826aqx743,13857,2
3xxop4apl3,21274,3
3jqv5mdqwe,17077,1
3wllog9zye,20022,3
e52gkorpoe,10345,1
3l6pgw24z3,6102,1
3w4952pzxn,28650,3
e5mbv626g3,13147,1
39ljjj7973,3204,2
3zar9q2l7n,4154,1
nbkjz4w2yn,3451,1
e59xzaybgn,12576,1
ekb2rv55ge,14497,1
39w64dggdn,17061,2
edg6wxxj2e,9810,4
ery5g9lrln,22077,3
3a7oygvz73,5069,1
edojgvjrd3,15483,1
3zk4xmxj43,778,3
3zw8x27aw3,3014,5
nybk9dlvz3,4367,2
ng6okka4ve,27416,1
e5lkwxvd4n,6383,4
3zlgya2x7e,11205,4
er2wgy5983,1413,1
ek8aymr7re,9615,2
e57xv8xvo3,1928,2
3jvbkvxgp3,0,3
3jrd25ybxn,10690,2
eram5a8o5n,407,10
nggbxkppbn,16487,1
375xplzwwe,4056,1
e592opdwgn,4908,1
3wkz9rr2z3,4729,2
nyx8lov4ye,1964,3
eddp6jgg2e,7864,3
3jqd76xgwe,6445,3
ng87j9v8a3,8777,11
3wxqrjddye,3683,2
3wv2vwrybn,23436,1
edddy2kz4e,15458,1
nqz4qdg56n,10230,4
345bgm54me,9656,1
3pxpvjlakn,9887,4
l34apkq6k3,25177,2
erb9kb9g53,9087,1
384k9vzdon,4589,2
9ekqq58bge,5105,2
ngob5zl6pe,3372,2
3xlb2m89d3,3728,1
36vq5p9p9e,46580,1
3lxrkzrpz3,10295,5
ngawkqxgan,2776,5
edxvmmbl43,4330,10
nmkp89zzk3,2095,2
e2ayl9qqa3,4547,1
nmo8yzrxje,5631,4
ergq5pwgln,4072,3
nvkkpr5qb3,1634,2
ngbr8d5mb3,8159,1
nv9j97j22e,3926,4
3aqvxy8z8e,4610,1
er5barral3,3128,6
3ork47zy93,19658,1
nvblqdjmq3,959,10
ny4dgkkbgn,1575,7
e5bq4rolbe,23030,1
ekz748dx2e,574,8
38vrdo6pdn,3536,1
38jw57gw4n,7727,2
3xzmq986pn,68109,1
3jzvpjrmwe,1047,1
37ba6rogje,9347,1
345wa87w4e,5915,15
3xo46r7wl3,2898,10
nvpkyzr6xn,3363,3
39wvgj6opn,2311,7
3zxgjydj6e,27366,4
34qwwxpape,3601,2
e2dwrqrpd3,4535,1
367zww9ooe,6604,1
395w2yvz7n,641,1
nm84xbmm93,3704,1
3965k44lb3,15444,1
era2p6jdln,5409,8
nb76wm77me,1455,4
3zr6r4xv8e,10006,9
edpqvx2g2e,8088,5
e2mqj9zmd3,3919,3
e2gl696573,5389,1
ngqd27ygr3,5043,3
3zpg72jljn,4371,2
e5podxx993,34112,1
nq6gzm6yk3,4721,2
3zd8yolj6n,18627,2
345xdp9dje,15213,6
edkk7wp6gn,84030,2
368pa8788n,14068,1
2nybobxmz3,24982,1
3755oqxjpe,7779,3
nqdojq2oze,18107,1
3jqgv8ywoe,6856,3
3jlrq9g26n,22418,2
ny7wa6z9ln,4573,8
eryrwovo5n,25278,1
3zz24ddv83,5585,17
38kj6gzb43,5810,4
nvr9okorje,7008,10
39gkpdymge,20101,4
erdbpl527n,17655,1
nqplzgl5ke,866,6
nga62wjazn,1594,2
er7r5yxo5n,28794,1
3jrxqmzbxn,8031,1
ngvoazoxan,4990,10
qe2d9o8xk3,20632,1
nb6xq6jxm3,9620,20
3l72vzw2ye,8898,15
3wl5jaakme,13547,1
ek9r2agqdn,5490,1
9ek9x76lrn,2400,1
3xzmd9874n,4768,7
3zzrdmll83,215,5
374rpww7j3,16280,3
erbyagrxl3,23923,4
ekz4zkxzge,1744,1
wnb4dy7kxe,2341,2
e55x2y9r4e,20452,1
3pybzbgbb3,6038,9
er2zy98853,969,2
3zk8xa9j83,6169,4
e52dx5wzoe,7144,1
4e59a4ax9n,12280,3
34jd59dw43,8169,4
e2vkyox4a3,467,12
3a9j7wrgdn,10551,2
edzmq866zn,1151,8
rnqlr8vbk3,3394,1
ergqjyo4ln,1541,1
qnv4wg9wpn,9528,7
39zljzrqdn,5531,1
nqaqvv5bke,7453,9
3j2ydbvy9e,17374,1
3azrgkgjbe,5068,7
37awb6mq93,1957,2
3lmgwz5poe,6415,1
3jmvxwqzw3,7820,1
39zwxjyybn,9662,1
e5vwjax843,10844,1
e2a78mjv73,5437,1
3j8dyvygxe,1293,4
ng8o7wyqa3,18078,4
3zrjmdbm8e,26788,4
ekopbgl85n,20158,1
3lrb6gbod3,7828,5
nvb7kp95x3,2812,4
38dzlazbpn,11076,3
3z764oq78n,7133,1
23lyrarz7e,27510,2
3622rrom9n,25339,1
364m986kke,10364,1
e2v758aad3,1709,3
382wd4po53,1664,2
ekb5685gre,9658,6
38zooy56d3,13612,2
erbd8p2a93,6203,22
nqqqjz8zkn,13622,2
e5lrzxdqon,8867,17
ekqpvpv2re,1885,6
nqdby75jze,4096,23
nqlkblxbm3,12803,2
nvrakw4wqe,865,5
3okyamop6n,14110,1
nb4266vqye,4603,4
edoop5bpw3,8667,2
3xl96j2943,13612,1
ek9wwpvw5n,1375,2
3z7rg5jqjn,3386,1
3l8wqgpqbn,3458,1
nmro42vqke,8222,2
nyrjql4wze,1904,4
3jx9zppvon,8970,1
er5zx74g53,1985,5
9ekow2kp4n,7080,8
34pqdw2ap3,24968,1
38wbd64xd3,3084,1
xerj8k5y5n,897,5
e5zr4zxzge,15083,2
3lbdb486on,21799,1
nqaoxkjzwe,6455,3
e5lwxrd54n,4873,3
edzkgldmgn,3282,4
nmrak64q9e,529,6
3pqg4bl5ge,2652,1
nbvvyov2ae,1659,1
ng6mr8wave,973,1
39gboy5gde,24873,1
349odlrzjn,17259,1
nvbbbbdyb3,1982,5
e2g6229wd3,9086,2
ngaymd5avn,17339,1
ekgyg25j53,2844,2
3p9gm7mz9n,2882,3
37by2vjlxe,12010,1
er5xz5lyj3,7681,2
3xxvdjgml3,1764,1
23l2mjk67n,7412,2
3xz67r4vpn,7848,2
e59bg45ron,3447,1
wnmmagv9vn,1163,9
3xxromy8k3,3382,6
3ozmz9o2yn,4908,1
e2dyj99dj3,5151,1
38z67rva43,5575,2
e2vkwxk963,4113,7
e52k68gy9e,11904,3
38zb25wrp3,9750,2
ekzzod4rge,14836,1
3jzavqmr6e,5200,2
3zxxlr688e,2289,1
rnqy5bp6ke,11509,1
3zrgj6qaje,1229,1
3pmlpkzg93,31885,3
3wlb9k22ze,4309,2
384w8j4m5n,3131,4
ekb7485y5e,2129,2
e25649xj6e,34401,1
39lg4xx5b3,23867,1
3a9mbjr4mn,8269,7
3j7pdlaa93,7479,9
rnqyr4v7ke,760,3
3l289o2vdn,6742,5
ngv2pgmrbn,10057,6
3xoggaa8x3,9782,1
nyaropb6dn,11482,2
nqz9qvg4zn,8314,2
e5l2o7m7bn,1155,1
3l8rrp86zn,7315,3
37m6q8zdv3,6217,1
ngar5rg9rn,1134,3
3z7ljalg7n,6081,2
nm89476ax3,1696,3
nbv4xzb92e,13154,2
3oov642ay3,32073,1
z377j42wj3,23373,9
ed7l9x9gge,4364,4
nqpwjg9j6e,23202,5
23lx578lb3,24178,1
3p2bkkzw8e,39594,1
3plzlb4akn,12132,4
379l67qo9n,15601,2
nvbyz96dx3,5021,1
83z2kj5k83,3250,4
3a9jxlxxdn,9352,1
ekq42kjq4e,5761,2
nvqvgb64j3,3264,4
nbkpjrbqmn,0,4
e2jwjw2ok3,2240,2
3zaxb4lkjn,13575,2
39bmgzm2dn,3257,1
3lrzgqlry3,11589,1
nqdgo2lboe,19668,1
nm82wv4jk3,3724,47
ekbpodwy2e,1394,7
er5jj9kg93,18375,1
3829x2ldp3,3713,1
38zpkmk7j3,4105,2
ng9o8xqqpe,20716,1
3olk6kad63,8508,4
3946q4ylge,0,3
3jxayzqr6n,866,1
379vx8mjpn,513,4
3oorzrg763,21719,3
nyrzr9lyye,18717,5
3lrxzy8pd3,13280,16
3lbl749wdn,15263,3
xerd86l47n,4137,3
3jz9lxrq6e,250,3
nb4wlddlye,14147,1
nbybqdmlae,10150,3
nyygg6ky9n,9553,1
nyymqw96dn,5743,1
83zowpvy8e,8339,6
3wlwzlpkze,5112,1
ng6qdo8rve,14885,4
nga88v66vn,7934,2
38v4agq4pn,14213,1
34x7bwrgyn,5103,5
nm9gzz54ve,29161,1
38dbazgypn,2057,10
nq2kjq67kn,1234,8
3l856xbdon,1331,9
nvzp4572x3,17212,4
3wqgoyjwx3,40230,1
ny7zb9rw9n,6086,1
nqp26p7zze,11871,2
ng6dvgmqre,60860,2
e2aj827jd3,3252,7
38wz8k5xo3,11034,2
3oz96a6dkn,4229,1
3l8772pqzn,16660,1
ek8amo9j2e,5166,3
nmm972gxkn,11801,1
ekgbd6l4g3,1887,1
3o4p726xge,3450,1
3x6k49v7x3,2717,7
j3jyk6qjw3,0,4
3pxoo6zm8n,9667,1
3o2aaxlwzn,8092,2
e2dj8wxdd3,29030,3
nv4647vopn,484,1
nqad2w8l6e,4387,2
4e5x4k5gnr,4628,1
ng92vr94ae,3363,5
rnqk2agmzn,2050,3
nq6qr72jw3,2966,14
ng497xqkzn,6021,2
3lmq4yw7be,11291,5
l34z7522ye,23558,3
3zama46xjn,12840,1
nyrbmbxxye,7317,1
36pvzxmwxe,1146,4
nvzy6xpbx3,15593,2
er78ykdm7n,4502,1
nvkqqgrvp3,1047,7
3ax9rvv5dn,2212,2
nvzmd8dkj3,6073,2
wnmrl2xje4,5651,1
3wqy78x6z3,16279,1
edkz29yo2n,20283,3
38jd9qb9pn,1156,10
3zr68jjmje,9297,2
3lr9p7v773,2132,14
3zralmd4je,4428,3
38mxyazgpn,5106,2
nyb7lgv9l3,23082,8
nqapwqp7ze,1757,4
nbyblykrye,1003,1
nyxo68xrle,1085,1
384vlx684n,18782,3
nvqd277zb3,873,5
e57wqjvo43,6301,2
nmq2rz55v3,3409,1
3lmzq764ze,8811,2
3lord9rod3,4200,10
3okbx7mg6n,6109,6
ng8kzar6r3,3408,6
2ny5r74y93,1363,2
nvb8plj6j3,6945,2
qnvoqx88xe,4583,5
3okw76gpgn,2189,4
37m84vx7p3,13657,1
3l7byjvyye,10636,1
nykp74o2g3,10049,2
nq89v4l46n,3811,2
edqmvqd5gn,27894,2
nb4l9o9l9e,12631,3
e2ajw5kr63,8745,3
nmqqv827j3,5687,1
nbol8olzy3,18412,2
3arbm4dy7n,12398,1
nvzza867p3,8887,2
3jrv8g496n,10102,1
3964rkxqb3,7039,4
era26dl57n,20002,3
e5m6kvkrb3,660,3
3o2kqq8yzn,3360,6
nm2a7rvb93,3222,14
ngo992pobe,2763,1
3zg27g5m8n,17490,7
3lx5d7j6b3,12525,2
39low27kg3,3301,1
3lbqd8akbn,8495,2
er6wlykk7e,46457,1
3zajkyyv4n,501,1
36p4agpxke,9105,1
37a6z7x9j3,20850,3
e527kokj4e,123859,2
ngawr7rpvn,5155,17
36pm49qr9e,1764,2
37mjloj2p3,1109,1
39lvaxlgg3,7105,1
edkap49jdn,6296,23
3l8mqyx97n,1549,1
3zk2gvb9w3,38140,3
39jgol2rde,9235,27
m394a8rgpe,9795,1
e5mook7jo3,11952,1
34kpxmd5me,10241,1
ny7bvvz29n,10382,1
3a59wx44me,14882,4
nyqlap6xd3,19284,3
ergbpjzk8n,13590,2
394ayw4mde,2466,6
3py79vzzz3,20554,2
3xx6zlkkk3,2990,1
3p9yld5v8n,17749,4
erdkjz8g7n,2964,1
ngoaym4abe,8867,1
nyrlwbvwle,882,4
ekzaj98xde,4223,1
nbmddkgr9e,16635,5
342pqx66ke,5080,5
j3jmvx6j93,14880,1
x364w4aroe,3518,1
36yp6578oe,5089,2
3a7vda48v3,1256,1
e2467dgy63,3182,1
qnvr9vbwje,5200,4
3o2kmrwvzn,15124,1
38z4lk8443,6319,4
39xwmoaxd3,2879,7
m39xx5zzp3,699,5
z377gj8x3l,1413,10
ed7a9b574e,5829,1
3jz5jj68pe,8341,2
nm8q89wwk3,20657,9
73oyz67jye,23587,1
2nyy2j8ozn,2924,5
xerbjq2o83,5763,5
qe2wm5xj7e,19587,2
34jvdrddy3,12800,2
qnvovqo2je,10561,1
nyqzl8zmg3,802,6
edqkdx2y2n,22774,3
37m25654x3,9212,1
ngv56x8pbn,11170,1
3zwla92l43,4131,2
nglz5m9ype,19500,1
nq6px9xzo3,6814,1
nbykp6a7ae,22967,1
e2dpdqkaa3,1744,3
3696mydxk3,8472,11
3wkp2669z3,1506,5
nbm6pga6ye,15994,9
3oyy4746ke,1181,34
3wxa25m2ye,4036,4
34jd9r2qp3,4277,1
j3ja7j8ox3,3959,2
38z7kxxb53,15652,6
rnqzvka76n,3442,1
3zgowrr76n,10022,9
erbo8z7k73,5944,1
nyr27qpale,20516,1
ng6l9o74re,278,4
er5lwp4853,9187,1
3xlzgz5vl3,4847,4
34gxpb9vk3,1896,5
nb78aralae,4589,10
3ozgwax9yn,9952,3
nglkljvvae,11028,1
nqd4k9g5me,1328,2
e2b49z5mke,6132,1
3ob55yvpyn,44075,1
qe22572xje,2507,1
3j2xj2r6xe,6583,3
349kxla9jn,10776,2
nm96ladkde,13722,2
3opd7b8q6e,25599,16
3xokbgawd3,2087,2
3pl9vrz4kn,5772,1
nqq9j5qxkn,8961,2
nb8ol2o89n,3656,6
nbaxwqlyxe,18126,6
9ekg7yk253,20441,1
ek9zpoo9gn,20338,1
3wv265zmxn,12350,1
nbmk4aog9e,821,3
34pzo668p3,6025,16
z37gzkwyj3,7413,6
3ozkjg9kyn,34848,2
ek2v5byv4e,893,2
384g4jkqdn,1622,6
nvv59aqg2n,1482,4
396bgl4zy3,40023,4
3pq58wvpbe,8378,5
ek4vlgqgg3,8297,1
xerrv8do5e,4611,4
ekz7pv4y2e,866,9
nydvprby9n,11106,1
3z7gd85z7n,24948,1
3a9kqaxvdn,25212,4
3ordm8lz63,9149,1
3l66mkqgy3,22161,1
nm94l5gdxe,13231,1
edqv69rjdn,22680,1
38kjjx57p3,1579,3
3jxvdw789n,35783,1
3alm97p2dn,7905,4
ek47ov4743,20702,2
3al85r9rmn,2947,1
ek49z9v4r3,12474,1
l34k96gzke,3246,2
e5ggzpao43,449,11
nmrx99bzje,6608,1
3azy46g6me,16500,3
3wkzmob9b3,1175,5
e2gk48gg73,6647,2
3zay7ayk8n,10139,4
nq2zyyvawn,12347,3
3olva42g93,4428,1
e2mmbx98d3,29358,1
3x6vgpqo43,12919,1
